,Name,Year,tp,fp,fn,tn
3,Diniz et al. 2012,2012,29,0,71,5
4,Diniz et al. 2011,2011,43,0,55,6
5,Ashley et al. 1998,1998,14,8,48,33
7,Young et al. 2009,2009,8,6,38,40
8,Jablonski-Momeni et al. 2012,2012,14,1,57,12
10,Co?rtes et al. 2000,2000,48,2,5,4
12,Ricketts et al. 1997,1997,9,1,33,5
13,Ç?nar et al. 2013,2013,23,2,10,9
14,Holtzman et al. 2010,2010,5,1,21,13
