,Name,Year,tp,fp,fn,tn
2,Chawla N et al. 2012,2012,21,4,61,49
4,da Silva RP et al. 2011a,2011,18,2,151,2018
5,daSilvaNeto  et al. 2008,2008,42,4,22,20
8,Fyffe HE et al. 2000a,2000,16,17,64,223
16,Novaes TF et al. 2009,2009,54,18,202,347
19,Soviero VM et al. 2012,2012,32,1,7,8
20,Neuhaus KW et al. 2014,2014,26,6,54,32
21,Piovesan C et al. 2013a,2013,28,7,14,85
